"Name","Team","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","K%","BB%","PA","playerid"
"Jorge Alfaro","Marlins","49.8 %","83.3 %","61.6 %","51.9 %","77.5 %","64.0 %","35.0 %","63.4 %","22.1 %","33.8 %","6.5 %","216","12180"
"Jean Segura","Phillies","41.2 %","61.5 %","49.4 %","74.6 %","95.9 %","85.3 %","40.4 %","65.0 %","7.3 %","11.8 %","4.6 %","263","5933"
"Brandon Dixon","Tigers","35.3 %","69.1 %","49.5 %","51.3 %","75.5 %","65.5 %","41.9 %","61.0 %","17.1 %","33.6 %","5.4 %","223","15214"
"Scott Kingery","Phillies","34.3 %","70.4 %","49.3 %","51.2 %","80.6 %","68.6 %","41.4 %","63.8 %","15.5 %","30.5 %","7.8 %","282","17975"
"Brandon Belt","Giants","29.5 %","76.5 %","48.4 %","68.8 %","87.8 %","80.9 %","40.3 %","58.0 %","9.3 %","21.7 %","10.3 %","281","10264"
"Buster Posey","Giants","28.5 %","73.5 %","47.9 %","69.3 %","88.7 %","82.1 %","43.0 %","60.4 %","8.5 %","17.4 %","7.2 %","207","9166"
"Didi Gregorius","Yankees","40.5 %","75.7 %","53.8 %","66.9 %","90.4 %","79.4 %","37.8 %","62.8 %","11.1 %","14.4 %","5.6 %","250","6012"
"James McCann","White Sox","37.6 %","67.4 %","50.2 %","53.0 %","83.3 %","70.2 %","42.1 %","61.3 %","15.0 %","32.0 %","5.3 %","225","12859"
"Rhys Hoskins","Phillies","24.6 %","60.2 %","39.4 %","67.2 %","85.4 %","78.7 %","41.6 %","53.0 %","8.4 %","25.2 %","15.3 %","313","16472"
"Alex Gordon","Royals","31.0 %","74.4 %","49.5 %","67.6 %","89.8 %","81.8 %","42.6 %","61.3 %","9.0 %","12.8 %","8.3 %","266","5209"
"Brandon Crawford","Giants","32.1 %","76.4 %","50.4 %","67.0 %","82.5 %","76.7 %","41.2 %","63.0 %","11.7 %","17.5 %","10.5 %","257","5343"
