"Name","Team","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","K%","BB%","PA","playerid"
"Justin Bour","Marlins","27.9 %","56.2 %","39.3 %","64.9 %","82.2 %","74.9 %","40.4 %","53.8 %","9.9 %","25.2 %","16.3 %","381","9744"
"Odubel Herrera","Phillies","39.0 %","68.8 %","51.3 %","58.5 %","87.8 %","74.7 %","41.4 %","64.9 %","13.0 %","20.9 %","6.1 %","393","11476"
"Cesar Hernandez","Phillies","18.3 %","56.8 %","35.6 %","59.0 %","88.8 %","80.4 %","44.9 %","57.9 %","7.0 %","20.6 %","14.4 %","423","10556"
"Matt Chapman","Athletics","24.7 %","63.1 %","41.1 %","63.2 %","84.1 %","76.9 %","42.8 %","57.9 %","9.5 %","23.6 %","10.6 %","330","16505"
"Chris Taylor","Dodgers","24.0 %","71.2 %","45.9 %","52.4 %","81.4 %","73.3 %","46.6 %","63.5 %","12.2 %","27.8 %","8.7 %","392","13757"
"Didi Gregorius","Yankees","36.5 %","76.1 %","52.3 %","68.3 %","90.1 %","80.9 %","39.9 %","62.2 %","10.0 %","12.9 %","8.7 %","389","6012"
"Buster Posey","Giants","30.4 %","64.4 %","44.7 %","78.2 %","92.0 %","86.6 %","42.0 %","55.2 %","6.0 %","11.8 %","10.3 %","339","9166"
"Yuli Gurriel","Astros","38.1 %","68.8 %","50.9 %","74.5 %","93.1 %","85.0 %","41.6 %","63.0 %","7.7 %","10.1 %","4.2 %","335","19198"
"Curtis Granderson","Blue Jays","25.8 %","57.6 %","39.4 %","59.7 %","82.3 %","73.8 %","42.6 %","55.2 %","10.3 %","29.9 %","13.0 %","261","4747"
"Nomar Mazara","Rangers","32.4 %","65.3 %","46.3 %","63.9 %","85.0 %","76.5 %","42.3 %","57.5 %","10.9 %","22.2 %","7.7 %","388","14553"
"Stephen Piscotty","Athletics","35.2 %","72.8 %","52.1 %","60.3 %","85.7 %","76.2 %","45.0 %","64.2 %","12.4 %","20.1 %","7.0 %","344","13367"
"Yasiel Puig","Dodgers","30.6 %","72.6 %","47.9 %","60.6 %","88.4 %","78.0 %","41.1 %","64.3 %","10.5 %","19.1 %","8.3 %","277","14225"
"Yadier Molina","Cardinals","37.7 %","69.8 %","52.1 %","73.9 %","89.8 %","83.4 %","44.9 %","65.7 %","8.6 %","14.3 %","5.2 %","251","7007"
"Jason Heyward","Cubs","32.1 %","66.7 %","46.5 %","75.4 %","90.9 %","84.6 %","41.6 %","61.6 %","7.1 %","11.1 %","8.2 %","305","4940"
"Andrew McCutchen","Giants","20.4 %","66.9 %","42.3 %","62.0 %","83.8 %","78.2 %","47.1 %","55.3 %","9.2 %","21.8 %","11.5 %","409","9847"
"Matt Davidson","White Sox","28.5 %","66.6 %","44.0 %","53.8 %","78.1 %","68.8 %","40.7 %","59.7 %","13.7 %","36.0 %","12.9 %","303","7226"
"Johan Camargo","Braves","30.6 %","67.9 %","45.5 %","69.2 %","80.3 %","75.9 %","40.1 %","55.3 %","11.0 %","18.8 %","12.4 %","266","14950"
"Gorkys Hernandez","Giants","32.5 %","70.2 %","49.3 %","50.3 %","82.3 %","70.6 %","44.7 %","61.5 %","14.5 %","26.1 %","6.0 %","283","4146"
"Enrique Hernandez","Dodgers","24.1 %","67.9 %","42.6 %","60.8 %","83.8 %","76.3 %","42.2 %","59.7 %","10.1 %","20.5 %","10.6 %","273","10472"
"Matt Olson","Athletics","24.4 %","70.1 %","43.8 %","68.2 %","75.1 %","72.9 %","42.5 %","51.9 %","11.9 %","25.2 %","10.1 %","397","14344"
"Edwin Encarnacion","Indians","28.6 %","66.6 %","44.6 %","62.8 %","84.5 %","76.5 %","42.2 %","60.0 %","10.5 %","23.2 %","10.4 %","367","2151"
"Niko Goodrum","Tigers","34.4 %","74.3 %","51.0 %","56.6 %","80.9 %","71.3 %","41.5 %","57.6 %","14.6 %","28.6 %","8.7 %","276","12092"
"Evan Gattis","Astros","30.5 %","68.0 %","46.5 %","65.2 %","86.5 %","78.5 %","42.5 %","53.4 %","10.0 %","22.8 %","7.2 %","320","11003"
"John Hicks","Tigers","42.0 %","80.6 %","57.5 %","54.3 %","77.1 %","67.1 %","40.2 %","64.4 %","18.9 %","28.4 %","6.4 %","264","12547"
"Christian Villanueva","Padres","38.8 %","79.0 %","55.9 %","54.9 %","80.7 %","70.4 %","42.5 %","60.9 %","16.5 %","28.9 %","5.8 %","294","11738"
"Leonys Martin","Tigers","29.1 %","74.6 %","49.0 %","62.4 %","84.7 %","77.3 %","43.8 %","57.5 %","11.1 %","21.9 %","8.8 %","306","11846"
"Brett Gardner","Yankees","19.1 %","52.9 %","34.6 %","77.9 %","94.3 %","89.4 %","45.9 %","53.8 %","3.7 %","14.9 %","11.7 %","368","9927"
"Mark Trumbo","Orioles","38.7 %","68.2 %","50.1 %","57.1 %","84.0 %","71.2 %","38.4 %","60.8 %","14.4 %","25.1 %","7.1 %","255","6876"
"George Springer","Astros","25.4 %","67.3 %","43.8 %","64.6 %","85.5 %","78.7 %","43.9 %","54.8 %","9.3 %","18.3 %","10.2 %","431","12856"
"Jeimer Candelario","Tigers","27.5 %","61.2 %","41.8 %","63.2 %","84.9 %","76.7 %","42.5 %","54.2 %","9.7 %","25.7 %","11.3 %","354","13621"
"Ian Desmond","Rockies","30.1 %","71.5 %","47.7 %","57.1 %","79.4 %","71.3 %","42.6 %","62.7 %","13.7 %","25.7 %","8.6 %","370","6885"
"Carlos Santana","Phillies","22.8 %","64.1 %","39.8 %","73.3 %","88.3 %","83.2 %","41.0 %","55.5 %","6.7 %","13.8 %","18.2 %","407","2396"
"Jurickson Profar","Rangers","30.3 %","68.1 %","47.4 %","72.4 %","90.6 %","84.2 %","45.3 %","58.9 %","7.5 %","13.1 %","8.3 %","350","10815"
"Yonder Alonso","Indians","32.8 %","76.9 %","50.8 %","60.4 %","89.7 %","78.5 %","40.8 %","59.2 %","10.9 %","21.4 %","8.9 %","336","2530"
