"Name","Team","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","K%","BB%","PA","playerid"
"Shin-Soo Choo","Rangers","26.1 %","61.7 %","41.6 %","57.7 %","78.7 %","71.2 %","43.4 %","57.4 %","11.9 %","26.1 %","12.0 %","249","3174"
"Cesar Hernandez","Phillies","23.3 %","61.7 %","40.7 %","61.2 %","91.0 %","81.6 %","45.2 %","59.0 %","7.5 %","23.9 %","11.9 %","285","10556"
"Matt Duffy","Rays","25.6 %","67.7 %","42.7 %","68.7 %","91.8 %","83.6 %","40.7 %","59.1 %","7.0 %","16.8 %","10.9 %","220","13836"
"Elvis Andrus","Rangers","35.8 %","66.4 %","49.1 %","65.3 %","90.4 %","80.0 %","43.6 %","61.5 %","9.8 %","18.3 %","5.7 %","262","8709"
"Logan Forsythe","- - -","16.0 %","57.3 %","36.0 %","70.5 %","87.8 %","83.8 %","48.4 %","55.1 %","5.8 %","21.1 %","11.5 %","227","7185"
"Nick Ahmed","Diamondbacks","38.1 %","74.0 %","53.4 %","60.6 %","89.2 %","77.5 %","42.6 %","68.3 %","12.0 %","17.6 %","7.0 %","227","12147"
"Jean Segura","Mariners","34.0 %","65.8 %","47.8 %","80.7 %","94.1 %","88.7 %","43.2 %","64.0 %","5.4 %","7.3 %","6.0 %","233","5933"
"Jeimer Candelario","Tigers","30.1 %","62.9 %","43.9 %","61.1 %","85.5 %","75.9 %","42.2 %","57.0 %","10.6 %","26.0 %","9.8 %","265","13621"
"Andrelton Simmons","Angels","30.7 %","66.0 %","46.7 %","76.1 %","91.4 %","85.9 %","45.2 %","57.6 %","6.6 %","11.5 %","2.9 %","243","10847"
"Evan Longoria","Giants","32.5 %","69.6 %","48.4 %","70.8 %","84.8 %","79.5 %","42.9 %","57.0 %","9.9 %","18.2 %","5.0 %","242","9368"
"Manuel Margot","Padres","31.9 %","68.1 %","49.4 %","66.7 %","89.5 %","81.9 %","48.3 %","64.9 %","8.9 %","17.5 %","3.8 %","211","14712"
"Yolmer Sanchez","White Sox","30.3 %","63.2 %","44.6 %","67.7 %","87.7 %","80.0 %","43.4 %","61.4 %","8.9 %","23.2 %","9.6 %","280","11602"
"Ryon Healy","Mariners","33.8 %","62.8 %","45.8 %","60.9 %","90.7 %","77.8 %","41.4 %","57.8 %","10.2 %","19.4 %","7.3 %","206","15447"
"Austin Jackson","Mets","27.9 %","67.5 %","47.0 %","50.8 %","78.2 %","69.8 %","48.3 %","66.2 %","14.2 %","35.2 %","5.7 %","210","9848"
"Jorge Bonifacio","Royals","28.0 %","70.5 %","45.8 %","47.6 %","83.3 %","70.6 %","41.8 %","69.5 %","13.5 %","25.8 %","11.7 %","213","12174"
"Dansby Swanson","Braves","37.8 %","69.9 %","51.2 %","60.1 %","85.2 %","74.5 %","41.9 %","63.1 %","13.1 %","20.9 %","10.2 %","206","18314"
"Brian Dozier","- - -","23.9 %","57.9 %","38.6 %","63.9 %","88.3 %","79.7 %","43.2 %","57.3 %","7.9 %","22.0 %","12.4 %","218","9810"
"Avisail Garcia","White Sox","42.0 %","79.3 %","57.4 %","48.0 %","79.9 %","66.2 %","41.4 %","67.5 %","19.4 %","28.7 %","7.6 %","237","5760"
"Ozzie Albies","Braves","36.6 %","82.7 %","54.7 %","62.3 %","88.0 %","77.6 %","39.3 %","59.9 %","12.3 %","17.9 %","6.7 %","252","16556"
"Tim Anderson","White Sox","39.6 %","74.6 %","54.7 %","58.1 %","85.0 %","73.9 %","43.2 %","63.5 %","14.3 %","25.0 %","2.9 %","244","15172"
"Billy Hamilton","Reds","30.7 %","67.7 %","48.6 %","71.5 %","84.8 %","80.5 %","48.4 %","67.4 %","9.5 %","21.0 %","5.4 %","224","10199"
"Brett Gardner","Yankees","25.4 %","54.1 %","38.0 %","72.7 %","92.8 %","85.3 %","43.9 %","56.9 %","5.6 %","21.6 %","9.1 %","241","9927"
"Odubel Herrera","Phillies","40.7 %","69.0 %","52.4 %","62.4 %","81.8 %","73.0 %","41.3 %","63.2 %","14.2 %","19.6 %","6.9 %","204","11476"
"Rosell Herrera","Royals","24.6 %","73.6 %","45.8 %","60.9 %","88.8 %","80.3 %","43.2 %","58.9 %","9.0 %","16.7 %","8.1 %","209","11611"
"Dee Gordon","Mariners","42.8 %","66.5 %","53.5 %","78.7 %","95.2 %","88.0 %","45.2 %","68.5 %","6.4 %","13.1 %","1.5 %","206","8203"
"Jake Bauers","Rays","24.4 %","64.8 %","40.5 %","54.3 %","79.8 %","70.5 %","39.9 %","55.8 %","11.9 %","30.5 %","13.3 %","233","15194"
"Willson Contreras","Cubs","35.9 %","70.6 %","49.9 %","58.0 %","75.9 %","68.3 %","40.4 %","59.1 %","15.8 %","24.6 %","9.4 %","203","11609"
"Kyle Seager","Mariners","29.0 %","73.6 %","48.5 %","56.7 %","87.1 %","76.9 %","43.7 %","55.9 %","11.2 %","21.8 %","7.0 %","229","9785"
"Brandon Crawford","Giants","33.8 %","74.7 %","51.7 %","62.3 %","80.4 %","73.7 %","43.9 %","64.4 %","13.6 %","21.6 %","7.7 %","222","5343"
